delta_sigma,grace_min,k_dn,k_h,k_up,n_v,t_fill_min,signal,n_events,fill_rate,n_filled,mean_ret_net,t_stat,bt_n_trades,bt_total_return,bt_sharpe,bt_max_drawdown,exit_types,trial_hash,daily_sr,n_days,skew,kurt
1.0,15,2.0,2.0,0.5,1,15,dip,17573,0.313549194787458,5510,-0.0008369656092504598,-12.525663274105561,5427,-0.990204118644485,-4.29543910488573,-0.990204118644485,"{""tp"": 3461, ""sl"": 1187, ""time_maker"": 783, ""time_taker"": 79}",172b1febf265,-0.22483355855266854,2512,-3.1050781208446887,27.706103120088144
1.0,15,2.0,2.0,0.5,1,15,breakout,18589,0.24955618914411748,4639,-0.0007209807675558482,-9.644091639457217,4639,-0.9666609203306689,-3.4657009282138027,-0.9666880769931343,"{""tp"": 2614, ""time_maker"": 1173, ""sl"": 617, ""time_taker"": 235}",77cd9ef346af,-0.18140307743702133,2512,-2.8907551149385755,31.462308850798912
1.0,15,2.0,2.0,0.5,1,60,dip,17573,0.5342855516986286,9389,-0.0009887050450093204,-19.045654630029002,8476,-0.9996250870514692,-5.684900562814569,-0.9996250870514692,"{""tp"": 5453, ""sl"": 1967, ""time_maker"": 1757, ""time_taker"": 212}",4ca2c3d327c6,-0.29756129521237157,2512,-3.0532180952522565,24.97233904021229
1.0,15,2.0,2.0,0.5,1,60,breakout,18589,0.5426327397923503,10087,-0.0008811486448038417,-18.190770765761282,8637,-0.9992236818145566,-5.280774713016111,-0.9992243141718723,"{""tp"": 4993, ""time_maker"": 3150, ""sl"": 1329, ""time_taker"": 615}",329d3d1a803e,-0.2764083814602103,2512,-2.9886943954423524,30.25702461284492
1.0,15,2.0,2.0,0.5,2,15,dip,17573,0.313549194787458,5510,-0.0008204296134169623,-11.743780923295326,5401,-0.989024222061327,-4.050675747205463,-0.989024222061327,"{""tp"": 3815, ""sl"": 1349, ""time_maker"": 292, ""time_taker"": 54}",fcbba052254b,-0.21202205887433284,2512,-2.3167266720008732,22.05853201180821
1.0,15,2.0,2.0,0.5,2,15,breakout,18589,0.24955618914411748,4639,-0.0007241478046274469,-9.24235314090064,4639,-0.9673421558792303,-3.352584129127581,-0.9673687576348406,"{""tp"": 3000, ""sl"": 793, ""time_maker"": 696, ""time_taker"": 150}",928f05b02c30,-0.1754822735681654,2512,-2.3528566216980074,24.156615624465875
1.0,15,2.0,2.0,0.5,2,60,dip,17573,0.5342855516986286,9389,-0.0009459793270933628,-17.49576268218091,8552,-0.9994970244489088,-5.224123108322934,-0.9995053050631116,"{""tp"": 6173, ""sl"": 2267, ""time_maker"": 791, ""time_taker"": 158}",550f0bdf89e9,-0.27344310094525703,2512,-2.273380945418974,19.665470395126626
1.0,15,2.0,2.0,0.5,2,60,breakout,18589,0.5426327397923503,10087,-0.0008610961046167416,-16.805538098471406,8637,-0.9991688313306003,-5.005549094742837,-0.9991695083668962,"{""tp"": 6039, ""time_maker"": 1908, ""sl"": 1731, ""time_taker"": 409}",6f8322d691c7,-0.2620024141888189,2512,-2.628157582183142,27.90581570236846
1.0,15,2.0,2.0,0.5,4,15,dip,17573,0.313549194787458,5510,-0.0008353001025851504,-11.57661976783463,5395,-0.9899962759896644,-4.08431652452421,-0.9899962759896644,"{""tp"": 3970, ""sl"": 1417, ""time_maker"": 93, ""time_taker"": 30}",e3fb8c90d11b,-0.2137828976366491,2512,-2.2993788463491507,21.125572884620766
1.0,15,2.0,2.0,0.5,4,15,breakout,18589,0.24955618914411748,4639,-0.0007669846036111428,-9.267757471237722,4639,-0.9734016849899327,-3.5099284796419936,-0.9734233508988313,"{""tp"": 3261, ""sl"": 991, ""time_maker"": 304, ""time_taker"": 83}",74fd3fcccf41,-0.18371805328253174,2512,-1.9948807299037672,19.810168599323056
1.0,15,2.0,2.0,0.5,4,60,dip,17573,0.5342855516986286,9389,-0.0009509417019248236,-16.91719321719834,8525,-0.9994910997350992,-5.061673121904612,-0.9994969723582512,"{""tp"": 6604, ""sl"": 2437, ""time_maker"": 277, ""time_taker"": 71}",0572b422a5e8,-0.2649400800336765,2512,-2.276711691938076,18.72393824175359
1.0,15,2.0,2.0,0.5,4,60,breakout,18589,0.5426327397923503,10087,-0.0009084235872281111,-16.42346766813063,8576,-0.999406212102167,-5.037311419546609,-0.9994066957777116,"{""tp"": 6812, ""sl"": 2186, ""time_maker"": 844, ""time_taker"": 245}",449139b1cf9b,-0.2636649302527564,2512,-2.824618680927793,31.35515174642848
1.0,15,2.0,2.0,1.0,1,15,dip,17573,0.313549194787458,5510,-0.0007697928529271793,-9.30815642615272,5406,-0.9865081431582567,-3.2680074048504344,-0.9865081431582567,"{""tp"": 2360, ""time_maker"": 1578, ""sl"": 1418, ""time_taker"": 154}",8036d4558a04,-0.1710553254900679,2512,-2.779269742420759,30.22971310485971
1.0,15,2.0,2.0,1.0,1,15,breakout,18589,0.24955618914411748,4639,-0.0008196898448567881,-9.15369505409003,4639,-0.9793860872566373,-3.3727670639098077,-0.9794194661186272,"{""time_maker"": 2064, ""tp"": 1494, ""sl"": 746, ""time_taker"": 335}",7de2db068bd1,-0.17653869665747496,2512,-0.9670630608079213,32.442473145750114
1.0,15,2.0,2.0,1.0,1,60,dip,17573,0.5342855516986286,9389,-0.0009451857342150977,-15.153020485184406,8573,-0.9995155423222115,-4.597987675255412,-0.9995178096222115,"{""tp"": 3510, ""time_maker"": 3191, ""sl"": 2306, ""time_taker"": 382}",b6572e9cd54a,-0.24066967450036458,2512,-2.46106255277197,24.200989870533647
1.0,15,2.0,2.0,1.0,1,60,breakout,18589,0.5426327397923503,10087,-0.0009033628515682808,-16.051824146106135,8637,-0.9993481117789987,-4.81973262278481,-0.999349167342163,"{""time_maker"": 5012, ""tp"": 2709, ""sl"": 1509, ""time_taker"": 857}",b0aa7e4a363f,-0.2522763355254044,2512,-1.5872793661719962,27.603446441237615
1.0,15,2.0,2.0,1.0,2,15,dip,17573,0.313549194787458,5510,-0.000757360691338776,-8.452847224679312,5363,-0.9850474874733817,-2.969780933382219,-0.9857799258407071,"{""tp"": 2920, ""sl"": 1703, ""time_maker"": 760, ""time_taker"": 127}",04e4c8c2d38e,-0.15544543853845474,2512,-2.040062795316154,22.244852355730107
1.0,15,2.0,2.0,1.0,2,15,breakout,18589,0.24955618914411748,4639,-0.0008131734472946035,-8.42364959351326,4639,-0.9790534983006849,-3.1436189208486467,-0.9790874157038532,"{""tp"": 2017, ""time_maker"": 1374, ""sl"": 984, ""time_taker"": 264}",239eabbdf5d7,-0.16454453466794133,2512,-0.8550664849698417,23.15468039820255
1.0,15,2.0,2.0,1.0,2,60,dip,17573,0.5342855516986286,9389,-0.0008840339777982396,-13.04619818711948,8672,-0.9992922220590433,-4.06575930227394,-0.9992942372590434,"{""tp"": 4556, ""sl"": 2791, ""time_maker"": 1742, ""time_taker"": 300}",651b63897b8b,-0.2128115682303876,2512,-1.5552030870623637,19.485949628265658
1.0,15,2.0,2.0,1.0,2,60,breakout,18589,0.5426327397923503,10087,-0.0008750767289742806,-14.240407629046244,8636,-0.9992489968332283,-4.427846492816024,-0.9992502128872288,"{""tp"": 3891, ""time_maker"": 3454, ""sl"": 2034, ""time_taker"": 708}",2bed04410612,-0.2317640779897084,2512,-1.295050069656434,23.70968233686885
1.0,15,2.0,2.0,1.0,4,15,dip,17573,0.313549194787458,5510,-0.0007697621411654734,-8.176121183227924,5341,-0.9852836962966041,-2.840430310449879,-0.9870426851738614,"{""tp"": 3247, ""sl"": 1869, ""time_maker"": 322, ""time_taker"": 72}",6670ce52f5ab,-0.14867491749398143,2512,-1.949524632458048,21.970353445414187
1.0,15,2.0,2.0,1.0,4,15,breakout,18589,0.24955618914411748,4639,-0.0008961734061907461,-8.494097284888104,4637,-0.9855728971296114,-3.226143026720536,-0.985596258064608,"{""tp"": 2463, ""sl"": 1299, ""time_maker"": 713, ""time_taker"": 164}",a3a680924e52,-0.16886404378831277,2512,-0.37533652089786135,24.519840302846944
1.0,15,2.0,2.0,1.0,4,60,dip,17573,0.5342855516986286,9389,-0.0008604003945071231,-12.050073109794836,8593,-0.9990776224081854,-3.668326529402271,-0.9990786836081854,"{""tp"": 5323, ""sl"": 3137, ""time_maker"": 766, ""time_taker"": 163}",84e44eb7d5a5,-0.19200898613614817,2513,-1.317239821827254,19.79305793165379
1.0,15,2.0,2.0,1.0,4,60,breakout,18589,0.5426327397923503,10087,-0.0009799904863750108,-14.339527337178327,8395,-0.9995166873251926,-4.419302476302045,-0.9995174699241718,"{""tp"": 5019, ""sl"": 2736, ""time_maker"": 1863, ""time_taker"": 469}",3ddd64782373,-0.23131686372586616,2512,-1.2431910390504057,23.812079539396244
1.0,15,2.0,2.0,2.0,1,15,dip,17573,0.313549194787458,5510,-0.0007616361967101594,-7.7350764746307235,5395,-0.9865586388239339,-2.967656307756904,-0.9865586388239339,"{""time_maker"": 2765, ""sl"": 1545, ""tp"": 905, ""time_taker"": 295}",ed030242e040,-0.1553342305505709,2512,-2.2394367164326128,23.966671524786513
1.0,15,2.0,2.0,2.0,1,15,breakout,18589,0.24955618914411748,4639,-0.0011271802419459721,-10.789911228264826,4638,-0.9950330908929796,-3.8067152968299793,-0.9950330908929796,"{""time_maker"": 2861, ""sl"": 829, ""tp"": 507, ""time_taker"": 442}",715c294c53ac,-0.19925258528509177,2512,-2.8512887432153105,37.31788212211835
1.0,15,2.0,2.0,2.0,1,60,dip,17573,0.5342855516986286,9389,-0.0009208900540327813,-12.73563877052581,8637,-0.9994536960491434,-4.1703415473188805,-0.9994536960491434,"{""time_maker"": 5064, ""sl"": 2473, ""tp"": 1241, ""time_taker"": 611}",ccaf525b86a8,-0.21828565312385897,2512,-1.6004183994478736,18.45064013818628
1.0,15,2.0,2.0,2.0,1,60,breakout,18589,0.5426327397923503,10087,-0.0011266286610658622,-17.683050217238385,7789,-0.9996397152165846,-4.775555731607812,-0.9996401344165846,"{""time_maker"": 6536, ""sl"": 1632, ""time_taker"": 1094, ""tp"": 825}",9de2f9db3ced,-0.24996401135863391,2512,-2.701502757711764,27.318405649757185
1.0,15,2.0,2.0,2.0,2,15,dip,17573,0.313549194787458,5510,-0.0007141592356711883,-6.463170697477965,5343,-0.9833256780526402,-2.4709605233598806,-0.9834339526635927,"{""sl"": 1939, ""time_maker"": 1844, ""tp"": 1443, ""time_taker"": 284}",b6ff687236f8,-0.1293359849702596,2512,-1.7512921573723892,20.953710785205757
1.0,15,2.0,2.0,2.0,2,15,breakout,18589,0.24955618914411748,4639,-0.0011502876307750173,-9.85857457350176,4637,-0.9956386859485113,-3.534582171159771,-0.9956386859485113,"{""time_maker"": 2243, ""sl"": 1132, ""tp"": 862, ""time_taker"": 402}",fc7c7f762d46,-0.18500848647458817,2512,-2.205789096433338,30.477032516610052
1.0,15,2.0,2.0,2.0,2,60,dip,17573,0.5342855516986286,9389,-0.0008012337896291266,-9.774277034434984,8604,-0.9989012512615333,-3.411519614084304,-0.9989041987615332,"{""time_maker"": 3570, ""sl"": 3113, ""tp"": 2127, ""time_taker"": 579}",27952f4db655,-0.17856709783974586,2512,-1.3279371942055518,15.716179936092278
1.0,15,2.0,2.0,2.0,2,60,breakout,18589,0.5426327397923503,10087,-0.001126194019237677,-15.620932207800424,7777,-0.9996416519743695,-4.371852503536859,-0.9996416519743695,"{""time_maker"": 5331, ""sl"": 2267, ""tp"": 1487, ""time_taker"": 1002}",394f15bee1bf,-0.2288332186387109,2512,-2.1958335322562275,22.92080445046512
1.0,15,2.0,2.0,2.0,4,15,dip,17573,0.313549194787458,5510,-0.0006975610002793779,-5.75289620039984,5292,-0.9823712396041405,-2.1987467393583153,-0.98532468966628,"{""sl"": 2269, ""tp"": 2005, ""time_maker"": 1038, ""time_taker"": 198}",771024758037,-0.11508766430973717,2512,-1.2948904901607239,18.410764596767194
1.0,15,2.0,2.0,2.0,4,15,breakout,18589,0.24955618914411748,4639,-0.0012258814966427233,-9.246616715712523,4622,-0.9969105669778424,-3.3529095390163994,-0.9969109986829413,"{""sl"": 1560, ""time_maker"": 1417, ""tp"": 1340, ""time_taker"": 322}",9b1be11b9183,-0.1754993063002109,2512,-2.665501374646977,37.48401234620729
1.0,15,2.0,2.0,2.0,4,60,dip,17573,0.5342855516986286,9389,-0.0007616135793959497,-8.448653750186326,8447,-0.9984045995689487,-2.8349297433443748,-0.9984089638994375,"{""sl"": 3714, ""tp"": 3087, ""time_maker"": 2166, ""time_taker"": 422}",710fef868402,-0.14838700465289806,2513,-0.6672838167881461,15.25824299006315
1.0,15,2.0,2.0,2.0,4,60,breakout,18589,0.5426327397923503,10087,-0.001272568677525587,-15.283051667397727,6702,-0.9997690211753311,-4.056633884925008,-0.9997690211753311,"{""time_maker"": 3555, ""sl"": 3197, ""tp"": 2503, ""time_taker"": 832}",77dea7f0cb11,-0.21233392205598253,2512,-2.656061644668446,29.642185210637525
1.0,15,2.0,4.0,0.5,1,15,dip,6725,0.37382899628252786,2514,-0.0008563492709961387,-8.31423673371463,2514,-0.8876955430203208,-3.03159387819038,-0.8885935389126531,"{""tp"": 1637, ""sl"": 559, ""time_maker"": 293, ""time_taker"": 25}",0b5754b1ee7e,-0.15868087594228872,2512,-3.4481946141698114,33.52882327322818
1.0,15,2.0,4.0,0.5,1,15,breakout,7276,0.288345244639912,2098,-0.0007751811317112763,-6.502414157279188,2098,-0.8095019614916092,-2.3210967618517655,-0.8102074310539394,"{""tp"": 1185, ""time_maker"": 533, ""sl"": 279, ""time_taker"": 101}",1e42552772b0,-0.12149175717998943,2512,-5.668370908621024,66.18257800918877
