label.delta,label.k_dn,label.k_up,label.n_v,label.t_fill_min,signal.k_h,signal,n_events,fill_rate,n_filled,mean_ret_net,t_stat,win_rate,bt_n_trades,bt_total_return,bt_sharpe,trial_hash,daily_sr,n_days,skew,kurt
0.0,1.0,1.0,4,15,1.0,dip,50976,0.8163449466415568,41614,-0.0015086074942961202,-65.33557315204936,0.38559138751381744,5915,-0.9999632785724172,-4.314457188521727,c949b6e29a0c,-0.22582901054635876,3327,-5.512799299820653,50.53400375180919
0.0,1.0,1.0,4,15,1.0,breakout,52920,0.8067838246409675,42695,-0.0016946647119627117,-72.20300321246401,0.3672326970371238,2259,-0.9999636632716737,-4.2411195063180225,c949b6e29a0c,-0.22199034081708502,3327,-6.238309820638972,55.51668848575185
0.0,1.0,1.0,4,15,2.0,dip,23979,0.8202593936360982,19669,-0.0014533330528690754,-42.62796845397168,0.39788499669530736,6281,-0.9999035679501536,-5.592740582441847,a2e584b34932,-0.2927374213691188,3327,-3.5229133315032186,31.68832893493461
0.0,1.0,1.0,4,15,2.0,breakout,25239,0.818217837473751,20651,-0.0018124164695294978,-51.5123904578205,0.3657934240472616,3324,-0.999963193393621,-5.021061538906116,a2e584b34932,-0.2628143726261094,3327,-5.393170849873817,72.42150600657871
0.0,1.0,1.0,4,15,3.0,dip,14106,0.8214943995462923,11588,-0.0014594013357742555,-32.57588519729397,0.40421125302036587,5876,-0.9997794264673857,-5.565591384873685,6ff0f232d2c9,-0.29131636742048844,3327,-2.5034990611308134,36.7808554249057
0.0,1.0,1.0,4,15,3.0,breakout,14882,0.825964252116651,12292,-0.0018542128685824387,-39.26229978453058,0.3647901073869183,3764,-0.9999248141216724,-5.761611303928312,6ff0f232d2c9,-0.3015765189142273,3327,-6.049915022565126,75.43933194393298
0.0,1.0,1.0,4,15,4.0,dip,9200,0.8376086956521739,7706,-0.001529560329810635,-27.711625228232478,0.3950168699714508,5225,-0.9996249938652724,-6.25736363882251,e7a335df7f11,-0.3275253820905852,3327,-1.7842999713079393,18.25174781158323
0.0,1.0,1.0,4,15,4.0,breakout,9899,0.8229114051924437,8146,-0.001810105005552516,-31.972299725815958,0.3703658237171618,4072,-0.9997682462171585,-5.934275402424009,e7a335df7f11,-0.3106141708867394,3327,-2.5731055091733634,32.684419478862544
0.0,1.0,1.0,4,60,1.0,dip,50976,0.8958137162586315,45665,-0.0015637802758483117,-69.83940979039023,0.38134238475856785,3414,-0.9999636843266214,-4.073607932164494,7561e50894cb,-0.21322238429481488,3327,-5.952449672185925,48.77753354907349
0.0,1.0,1.0,4,60,1.0,breakout,52920,0.898790627362056,47564,-0.0017597616135318615,-77.09387055725843,0.36277436716844674,1589,-0.9999636217619137,-3.8662237815763483,7561e50894cb,-0.2023674017364262,3327,-6.751618369877459,58.460608032449784
